,0,1
0,"['S101', 'S018', 'S004', 'S045', 'S039', 'S034', 'S018']","(<experiment_data.Experiment object at 0x0000027B00269D80>, [0.5722222222222222, 0.5, 0.5388888888888889, 0.6611111111111111])"
1,"['S093', 'S045', 'S001', 'S024', 'S069', 'S054', 'S018']","(<experiment_data.Experiment object at 0x0000027B02F0B580>, [0.4777777777777778, 0.48333333333333334, 0.4722222222222222, 0.4])"
2,"['S099', 'S057', 'S091', 'S030', 'S011', 'S008', 'S018']","(<experiment_data.Experiment object at 0x0000027B0030CE20>, [0.4111111111111111, 0.45555555555555555, 0.40555555555555556, 0.4444444444444444])"
3,"['S025', 'S086', 'S039', 'S024', 'S075', 'S061', 'S018']","(<experiment_data.Experiment object at 0x0000027B00433970>, [0.48333333333333334, 0.5055555555555555, 0.43333333333333335, 0.5611111111111111])"
4,"['S105', 'S080', 'S064', 'S102', 'S074', 'S022', 'S018']","(<experiment_data.Experiment object at 0x0000027B00A2D480>, [0.6277777777777778, 0.48333333333333334, 0.4777777777777778, 0.5611111111111111])"
5,"['S007', 'S009', 'S010', 'S011', 'S012', 'S013 ', 'S018']","(<experiment_data.Experiment object at 0x0000027B099767D0>, [0.46111111111111114, 0.36666666666666664, 0.48333333333333334, 0.39444444444444443])"
6,"['S079', 'S023', 'S030', 'S048', 'S033', 'S010', 'S013']","(<experiment_data.Experiment object at 0x0000027B06DDB9D0>, [0.5611111111111111, 0.5722222222222222, 0.5888888888888889, 0.5888888888888889])"
7,"['S019', 'S090', 'S039', 'S092', 'S094', 'S008', 'S013']","(<experiment_data.Experiment object at 0x0000027B06F05D50>, [0.5222222222222223, 0.49444444444444446, 0.5055555555555555, 0.5222222222222223])"
8,"['S099', 'S090', 'S016', 'S012', 'S086', 'S033', 'S013']","(<experiment_data.Experiment object at 0x0000027B06FB2E30>, [0.5277777777777778, 0.6055555555555555, 0.5277777777777778, 0.46111111111111114])"
9,"['S021', 'S041', 'S018', 'S017', 'S088', 'S023', 'S013']","(<experiment_data.Experiment object at 0x0000027B1E44AD70>, [0.4777777777777778, 0.6111111111111112, 0.5277777777777778, 0.6111111111111112])"
10,"['S020', 'S101', 'S041', 'S024', 'S071', 'S088', 'S013']","(<experiment_data.Experiment object at 0x0000027B010E7D30>, [0.5555555555555556, 0.4888888888888889, 0.45, 0.5])"
11,"['S007', 'S009', 'S010', 'S018', 'S012', 'S011 ', 'S013']","(<experiment_data.Experiment object at 0x0000027B07E8BF10>, [0.45, 0.5722222222222222, 0.5722222222222222, 0.4777777777777778])"
